max_err,rmse,a6,a8,a9,a10,y,L,kappa,r21,s19,imput
0.01156999999999997,0.005963314148158672,0.0,2.0,6.0,0.0,16.0,120.0,0.0,1.0,0.0,1.0
0.011579999999999924,0.005989888090217811,0.0,2.0,6.0,0.0,16.0,120.0,0.0,0.0,0.0,1.0
0.011660000000000004,0.0059923764592713594,0.0,2.0,6.0,0.0,16.0,120.0,0.0,0.0,0.3,1.0
0.011660000000000004,0.0059823078105979,0.0,2.0,6.0,0.0,16.0,120.0,0.0,1.0,0.3,1.0
0.01200000000000001,0.005912434987505678,0.0,2.0,6.0,0.0,16.0,120.0,0.0,1.0,0.0,0.0
0.0121,0.005920328638275491,0.0,2.0,6.0,0.0,16.0,120.0,0.0,1.0,0.3,0.0
0.01211000000000001,0.005928357532827864,0.0,2.0,6.0,0.0,16.0,120.0,0.0,0.0,0.0,0.0
0.012199999999999989,0.005951458028640249,0.0,2.0,6.0,0.0,16.0,120.0,0.0,0.0,0.3,0.0
0.012400000000000078,0.0081122219224155,0.0,2.0,8.0,1.0,16.0,100.0,0.0,1.0,0.0,0.0
0.012420000000000098,0.008107008403798488,0.0,2.0,8.0,1.0,16.0,100.0,0.0,0.0,0.3,0.0
0.012430000000000052,0.008102765513265385,0.0,2.0,8.0,1.0,16.0,100.0,0.0,1.0,0.3,0.0
0.012440000000000007,0.008129487483275962,0.0,2.0,8.0,1.0,16.0,100.0,0.0,0.0,0.0,0.0
0.012699999999999934,0.006795395668855208,0.0,0.0,6.0,0.0,14.0,100.0,0.0,0.0,0.0,0.0
0.012719999999999954,0.0067827885175695875,0.0,0.0,6.0,0.0,14.0,100.0,0.0,1.0,0.0,0.0
0.012859999999999983,0.006762460219640644,0.0,0.0,6.0,0.0,14.0,100.0,0.0,1.0,0.3,0.0
0.012959999999999972,0.006788996058437599,0.0,0.0,6.0,0.0,14.0,100.0,0.0,0.0,0.3,0.0
0.012959999999999972,0.007455686177030931,0.0,1.0,6.0,0.0,14.0,100.0,0.0,1.0,0.3,1.0
0.012969999999999982,0.0075092614471385455,0.0,1.0,6.0,0.0,14.0,100.0,0.0,1.0,0.0,1.0
0.012970000000000037,0.007779490943071619,0.0,1.0,8.0,0.5,14.0,80.0,0.0,1.0,0.3,0.0
0.013000000000000012,0.007518673893121783,0.0,1.0,6.0,0.0,14.0,100.0,0.0,0.0,0.0,1.0
0.013000000000000012,0.007797605620150807,0.0,1.0,8.0,0.5,14.0,80.0,0.0,0.0,0.3,0.0
0.013009999999999966,0.007836612131763546,0.0,1.0,8.0,0.5,14.0,80.0,0.0,0.0,0.0,0.0
0.013020000000000032,0.007826218570364049,0.0,1.0,8.0,0.5,14.0,80.0,0.0,1.0,0.0,0.0
0.013029999999999986,0.007484100188374647,0.0,1.0,6.0,0.0,14.0,100.0,0.0,0.0,0.3,1.0
0.013129999999999975,0.0076096284573728915,0.0,2.0,8.0,0.0,14.0,80.0,0.0,0.0,0.3,0.0
0.01313999999999993,0.006987539974045852,0.0,2.0,6.0,0.0,16.0,100.0,0.0,0.0,0.0,0.0
0.01314000000000004,0.0076073723063491226,0.0,2.0,8.0,0.0,14.0,80.0,0.0,1.0,0.3,0.0
0.01315999999999995,0.006969266984145184,0.0,2.0,6.0,0.0,16.0,100.0,0.0,1.0,0.0,0.0
0.013179000000000052,0.00791143415851035,0.0,2.0,6.0,0.5,16.0,120.0,0.0,0.0,0.3,1.0
0.013209000000000026,0.007791530734405457,0.0,1.0,6.0,0.5,16.0,120.0,0.0,1.0,0.0,1.0
0.01322000000000001,0.007622184196536183,0.0,2.0,8.0,0.0,14.0,80.0,0.0,0.0,0.0,0.0
0.013239,0.00782207588720442,0.0,1.0,6.0,0.5,16.0,120.0,0.0,0.0,0.0,1.0
0.013249000000000066,0.00781455461160631,0.0,1.0,6.0,0.5,16.0,120.0,0.0,0.0,0.3,1.0
0.013249999999999984,0.007624228101791555,0.0,2.0,8.0,0.0,14.0,80.0,0.0,1.0,0.0,0.0
0.013268999999999975,0.007803238173989031,0.0,1.0,6.0,0.5,16.0,120.0,0.0,1.0,0.3,1.0
0.013270000000000004,0.0069741151091414775,0.0,2.0,6.0,0.0,16.0,100.0,0.0,0.0,0.3,0.0
0.013279999999999959,0.006961710469896489,0.0,2.0,6.0,0.0,16.0,100.0,0.0,1.0,0.3,0.0
0.01329900000000006,0.007940373538186081,0.0,2.0,6.0,0.5,16.0,120.0,0.0,1.0,0.3,1.0
0.013359999999999927,0.00822260466527979,0.0,0.0,6.0,0.5,16.0,120.0,0.0,1.0,0.0,0.0
0.01339900000000005,0.008019809044554039,0.0,2.0,6.0,0.5,16.0,120.0,0.0,0.0,0.0,1.0
0.01339900000000005,0.008019657104519731,0.0,2.0,6.0,0.5,16.0,120.0,0.0,1.0,0.0,1.0
0.013399999999999967,0.008234719725829329,0.0,0.0,6.0,0.5,16.0,120.0,0.0,0.0,0.0,0.0
0.013419999999999987,0.008208674052714204,0.0,0.0,6.0,0.5,16.0,120.0,0.0,1.0,0.3,0.0
0.013469999999999982,0.007857318084529935,0.0,1.0,6.0,0.0,14.0,100.0,0.0,1.0,0.0,0.0
0.013479999999999936,0.0082270989936825,0.0,0.0,6.0,0.5,16.0,120.0,0.0,0.0,0.3,0.0
0.013479999999999936,0.006862290736200847,0.0,1.0,6.0,0.0,16.0,120.0,0.0,1.0,0.0,0.0
0.013479999999999936,0.006898949039661878,0.0,1.0,6.0,0.0,16.0,120.0,0.0,1.0,0.3,0.0
