ts,team_id,rank,score,team,org,finish_time
2026-07-04 21:09,54771621,36,0.925857,Famouse,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 17:46:15+05:30
2026-07-04 21:09,54523190,37,0.9258,Fodugang,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 16:39:38+05:30
2026-07-04 21:09,54599586,38,0.925786,21f2000272,"Indian Institute of Technology (IIT), Madras",2026-07-03 03:16:03+05:30
2026-07-04 21:09,54347357,39,0.925714,atharvbellikar,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 04:42:11+05:30
2026-07-04 21:09,54394899,40,0.9254,Alpha,"SP Jain Institute of Management and Research (SPJIMR), Mumba",2026-07-02 18:11:41+05:30
2026-07-04 21:09,54305187,41,0.925271,LameX,"Indian Institute of Technology, Banaras Hindu University (II",2026-07-04 17:56:30+05:30
2026-07-04 21:09,54640735,42,0.925214,Mahishmati,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 00:48:16+05:30
2026-07-04 21:09,54595778,43,0.925171,kshitij.rana25,"Indian Institute of Management (IIM), Bangalore",2026-07-03 00:53:25+05:30
2026-07-04 21:09,54506688,44,0.924743,SNIPER,"Department of Management Studies (DMS), Indian Institute of ",2026-07-03 03:21:59+05:30
2026-07-04 21:09,54495733,45,0.924686,math_lovers,"Indian Institute of Technology (IIT), Kharagpur",2026-07-01 22:37:00+05:30
2026-07-04 21:09,54630993,46,0.923743,nikhilpandey6159,Chennai Mathematical Institute,2026-07-03 15:32:24+05:30
2026-07-04 21:09,54488624,46,0.923743,Place Holder,"Indian Institute of Management (IIM), Lucknow",2026-07-03 15:37:29+05:30
2026-07-04 21:09,54708721,47,0.923371,atharvsoni1208,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 12:04:28+05:30
2026-07-04 21:09,54712381,48,0.923229,pranitsaluja007,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 03:24:51+05:30
