maxerr_scaled,rmse,maxerr,a6,a8,a9,a10,y,L,kap,s19,s20,rw,rf4,bn,p2,imp
2.9233333333333147,0.005882470323861472,0.008769999999999945,0.0,0.02,0.085,0.0,0.2,1.275,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0
2.9233333333333147,0.005882470323861472,0.008769999999999945,0.0,0.02,0.085,0.0,0.2,1.275,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0
2.9366666666666617,0.005887167217928479,0.008809999999999985,0.0,0.02,0.085,0.0,0.2,1.275,0.0,0.0,150.0,0.0,0.0,0.0,-150.0,0
2.9366666666666617,0.005887167217928479,0.008809999999999985,0.0,0.02,0.085,0.0,0.2,1.275,0.0,0.0,150.0,0.0,0.0,0.0,-150.0,0
3.103333333333347,0.006129134377889106,0.00931000000000004,0.0,0.02,0.085,0.0,0.2,1.15,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.103333333333347,0.006129134377889106,0.00931000000000004,0.0,0.02,0.085,0.0,0.2,1.15,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.2566666666666486,0.006184039917699709,0.009769999999999945,0.0,0.0,0.085,0.0,0.17099999999999999,0.85,0.0,100.0,0.0,0.0,0.0,0.0,-150.0,0
3.2566666666666486,0.006184039917699709,0.009769999999999945,0.0,0.0,0.085,0.0,0.17099999999999999,0.85,0.0,100.0,0.0,0.0,0.0,0.0,-150.0,0
3.306666666666643,0.005990302107017068,0.009919999999999929,0.0,0.0,0.085,0.0,0.17099999999999999,0.85,0.0,0.0,150.0,0.0,0.0,0.0,-600.0,0
3.306666666666643,0.005990302107017068,0.009919999999999929,0.0,0.0,0.085,0.0,0.17099999999999999,0.85,0.0,0.0,150.0,0.0,0.0,0.0,-600.0,0
3.3166666666666345,0.006247531725943166,0.009949999999999903,0.0,0.0,0.085,0.0,0.17099999999999999,0.85,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0
3.3166666666666345,0.006247531725943166,0.009949999999999903,0.0,0.0,0.085,0.0,0.17099999999999999,0.85,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0
3.323333333333345,0.006121534551014089,0.009970000000000034,0.0,0.02,0.085,0.0,0.2,1.15,0.0,0.0,150.0,0.0,0.0,0.0,-600.0,0
3.323333333333345,0.006121534551014089,0.009970000000000034,0.0,0.02,0.085,0.0,0.2,1.15,0.0,0.0,150.0,0.0,0.0,0.0,-600.0,0
3.3366666666666545,0.0053903770293476155,0.010009999999999963,0.0,0.02,0.085,0.0,0.185,1.025,0.0,100.0,0.0,0.0,0.0,0.0,-600.0,0
3.3366666666666545,0.0053903770293476155,0.010009999999999963,0.0,0.02,0.085,0.0,0.185,1.025,0.0,100.0,0.0,0.0,0.0,0.0,-600.0,0
3.3466666666666645,0.0058282576711639455,0.010039999999999993,0.0,0.0,0.085,0.0,0.17099999999999999,0.975,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0
3.3466666666666645,0.0058282576711639455,0.010039999999999993,0.0,0.0,0.085,0.0,0.17099999999999999,0.975,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0
3.366666666666666,0.005693849579769117,0.010099999999999998,0.0,0.02,0.085,0.0,0.185,1.025,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0
3.366666666666666,0.005693849579769117,0.010099999999999998,0.0,0.02,0.085,0.0,0.185,1.025,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0
3.379600000000016,0.006417763317542936,0.009019999999999917,0.0,0.02,0.085,0.0,0.2,1.15,0.0,0.0,150.0,0.0,0.0,0.0,-150.0,0
3.379600000000016,0.006417763317542936,0.009019999999999917,0.0,0.02,0.085,0.0,0.2,1.15,0.0,0.0,150.0,0.0,0.0,0.0,-150.0,0
3.386666666666686,0.005655000612371831,0.010160000000000058,0.0,0.02,0.085,0.0,0.185,1.025,0.0,100.0,0.0,0.0,0.0,0.0,-150.0,0
3.386666666666686,0.005655000612371831,0.010160000000000058,0.0,0.02,0.085,0.0,0.185,1.025,0.0,100.0,0.0,0.0,0.0,0.0,-150.0,0
3.4356000000000275,0.006522423720150734,0.009679999999999911,0.0,0.02,0.085,0.0,0.2,1.15,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0
3.4356000000000275,0.006522423720150734,0.009679999999999911,0.0,0.02,0.085,0.0,0.2,1.15,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0
3.44999999999999,0.005711162241448583,0.01034999999999997,0.0,0.02,0.085,0.0,0.2,1.275,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.44999999999999,0.005711162241448583,0.01034999999999997,0.0,0.02,0.085,0.0,0.2,1.275,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.506666666666658,0.005772498727202582,0.010519999999999974,0.0,0.0,0.085,0.0,0.17099999999999999,0.975,0.0,100.0,0.0,0.0,0.0,0.0,-150.0,0
3.506666666666658,0.005772498727202582,0.010519999999999974,0.0,0.0,0.085,0.0,0.17099999999999999,0.975,0.0,100.0,0.0,0.0,0.0,0.0,-150.0,0
3.5200000000000045,0.005814985436751279,0.010560000000000014,0.0,0.02,0.085,0.0,0.2,1.275,0.0,0.0,150.0,0.0,0.0,0.0,-600.0,0
3.5200000000000045,0.005814985436751279,0.010560000000000014,0.0,0.02,0.085,0.0,0.2,1.275,0.0,0.0,150.0,0.0,0.0,0.0,-600.0,0
3.5200000000000045,0.006277901282954228,0.010560000000000014,0.0,0.02,0.085,0.0,0.2,1.275,0.0,100.0,0.0,0.0,0.0,0.0,-150.0,0
3.5200000000000045,0.006277901282954228,0.010560000000000014,0.0,0.02,0.085,0.0,0.2,1.275,0.0,100.0,0.0,0.0,0.0,0.0,-150.0,0
3.533333333333314,0.005738335163132624,0.010599999999999943,0.0,0.0,0.085,0.0,0.17099999999999999,0.975,0.0,0.0,150.0,0.0,0.0,0.0,-600.0,0
3.533333333333314,0.005738335163132624,0.010599999999999943,0.0,0.0,0.085,0.0,0.17099999999999999,0.975,0.0,0.0,150.0,0.0,0.0,0.0,-600.0,0
3.5366666666666693,0.0063379987553029765,0.010610000000000008,0.01,0.0,0.02,0.0,0.17099999999999999,0.975,0.0,0.0,400.0,0.0,0.0,0.0,-600.0,0
3.5366666666666693,0.0063379987553029765,0.010610000000000008,0.01,0.0,0.02,0.0,0.17099999999999999,0.975,0.0,0.0,400.0,0.0,0.0,0.0,-600.0,0
3.569999999999999,0.006092427546340403,0.010709999999999997,0.0,0.02,0.095,0.0,0.185,1.025,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0
3.569999999999999,0.006092427546340403,0.010709999999999997,0.0,0.02,0.095,0.0,0.185,1.025,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0
3.5833333333333455,0.006413032512002402,0.010750000000000037,0.0,0.02,0.085,0.0,0.2,1.275,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0
3.5833333333333455,0.006413032512002402,0.010750000000000037,0.0,0.02,0.085,0.0,0.2,1.275,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0
3.58360000000002,0.006043234668557823,0.00895900000000005,0.0,0.01,0.085,0.0,0.185,1.025,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.58360000000002,0.006043234668557823,0.00895900000000005,0.0,0.01,0.085,0.0,0.185,1.025,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.589999999999982,0.006185361817615422,0.010769999999999946,0.0,0.0,0.085,0.0,0.17099999999999999,0.85,0.0,100.0,0.0,0.0,0.0,0.0,-600.0,0
3.589999999999982,0.006185361817615422,0.010769999999999946,0.0,0.0,0.085,0.0,0.17099999999999999,0.85,0.0,100.0,0.0,0.0,0.0,0.0,-600.0,0
3.639999999999995,0.00568026375887337,0.010919999999999985,0.0,0.01,0.085,0.0,0.185,1.15,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.639999999999995,0.00568026375887337,0.010919999999999985,0.0,0.01,0.085,0.0,0.185,1.15,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.6400000000000134,0.0061215554244664645,0.01092000000000004,0.0,0.02,0.095,0.0,0.185,1.025,0.0,0.0,150.0,0.0,0.0,0.0,-150.0,0
